Data	Pheno_1	Pheno_2	Pheno_3	UNIQID	Colors_1	Colors_2	Colors_3	Family_CG	Order_2	Order_1	Order
HGDP	San	AFR	HGDP	HGDP00991	#F781BF	#E41A1C	red	Fam	10_AFR	10_San	1
HGDP	San	AFR	HGDP	HGDP01036	#F781BF	#E41A1C	red	Fam	10_AFR	10_San	1
HGDP	San	AFR	HGDP	HGDP00992	#F781BF	#E41A1C	red	Fam	10_AFR	10_San	1
HGDP	San	AFR	HGDP	HGDP01029	#F781BF	#E41A1C	red	Fam	10_AFR	10_San	1
HGDP	San	AFR	HGDP	HGDP01032	#F781BF	#E41A1C	red	Fam	10_AFR	10_San	1
HGDP	Mbuti-Py	AFR	HGDP	HGDP00449	#4DAF4A	#E41A1C	red	Fam	10_AFR	20_Mbuti-Py	2
HGDP	Mbuti-Py	AFR	HGDP	HGDP00463	#4DAF4A	#E41A1C	red	Fam	10_AFR	20_Mbuti-Py	2
HGDP	Mbuti-Py	AFR	HGDP	HGDP00450	#4DAF4A	#E41A1C	red	Fam	10_AFR	20_Mbuti-Py	2
HGDP	Mbuti-Py	AFR	HGDP	HGDP00456	#4DAF4A	#E41A1C	red	Fam	10_AFR	20_Mbuti-Py	2
HGDP	Mbuti-Py	AFR	HGDP	HGDP00462	#4DAF4A	#E41A1C	red	Fam	10_AFR	20_Mbuti-Py	2
HGDP	Mbuti-Py	AFR	HGDP	HGDP00476	#4DAF4A	#E41A1C	red	Fam	10_AFR	20_Mbuti-Py	2
HGDP	Mbuti-Py	AFR	HGDP	HGDP00478	#4DAF4A	#E41A1C	red	Fam	10_AFR	20_Mbuti-Py	2
HGDP	Mbuti-Py	AFR	HGDP	HGDP00982	#4DAF4A	#E41A1C	red	Fam	10_AFR	20_Mbuti-Py	2
HGDP	Mbuti-Py	AFR	HGDP	HGDP00984	#4DAF4A	#E41A1C	red	Fam	10_AFR	20_Mbuti-Py	2
HGDP	Mbuti-Py	AFR	HGDP	HGDP01081	#4DAF4A	#E41A1C	red	Fam	10_AFR	20_Mbuti-Py	2
HGDP	Mbuti-Py	AFR	HGDP	HGDP00467	#4DAF4A	#E41A1C	red	Fam	10_AFR	20_Mbuti-Py	2
HGDP	Mbuti-Py	AFR	HGDP	HGDP00471	#4DAF4A	#E41A1C	red	Fam	10_AFR	20_Mbuti-Py	2
HGDP	Mbuti-Py	AFR	HGDP	HGDP00474	#4DAF4A	#E41A1C	red	Fam	10_AFR	20_Mbuti-Py	2
HGDP	Biaka-Py	AFR	HGDP	HGDP00458	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP00459	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP00460	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP00461	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP00464	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP00465	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP00466	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP00469	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP00470	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP00472	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP00454	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP00455	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP00457	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP00985	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP00986	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP01086	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP01087	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP01090	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP01094	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP00473	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP00475	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Biaka-Py	AFR	HGDP	HGDP00479	#377EB8	#E41A1C	red	Fam	10_AFR	30_Biaka-Py	3
HGDP	Bantu	AFR	HGDP	HGDP00993	#984EA3	#E41A1C	red	Fam	10_AFR	40_Bantu	4
